OfficerID,CaseID,OfficerName,Rank,PoliceStation,Contact,RankID,DesignationID,UnitID,DistrictID,StateID,Email,Status,JoiningDate
OFF026,CASE00022,Bengaluru Rural Officer 1,Superintendent of Police,Bengaluru Rural Town PS,948080021,R005,DES005,U010,DIS002,ST001,officer.off026@ksp.gov.in,Active,2018-06-15
OFF027,CASE00023,Bengaluru Rural Officer 2,Deputy Superintendent of Police,Bengaluru Rural Central PS,948080022,R006,DES005,U011,DIS002,ST001,officer.off027@ksp.gov.in,Active,2018-06-15
OFF028,CASE00024,Bengaluru Rural Officer 3,Circle Inspector,Bengaluru Rural Cyber Crime PS,948080023,R007,DES001,U012,DIS002,ST001,officer.off028@ksp.gov.in,Active,2018-06-15
OFF029,CASE00025,Bengaluru Rural Officer 4,Police Sub-Inspector,Bengaluru Rural Traffic PS,948080024,R008,DES002,U013,DIS002,ST001,officer.off029@ksp.gov.in,Active,2018-06-15
OFF030,CASE00026,Bengaluru Rural Officer 5,Assistant Sub-Inspector,Bengaluru Rural Town PS,948080025,R009,DES003,U010,DIS002,ST001,officer.off030@ksp.gov.in,Active,2018-06-15
OFF031,CASE00027,Bengaluru Rural Officer 6,Head Constable,Bengaluru Rural Central PS,948080026,R010,DES009,U011,DIS002,ST001,officer.off031@ksp.gov.in,Active,2018-06-15
OFF032,CASE00028,Bengaluru Rural Officer 7,Police Constable,Bengaluru Rural Cyber Crime PS,948080027,R010,DES009,U012,DIS002,ST001,officer.off032@ksp.gov.in,Active,2018-06-15
OFF033,CASE00029,Bengaluru Rural Officer 8,CID Officer,Bengaluru Rural Traffic PS,948080028,R004,DES004,U013,DIS002,ST001,officer.off033@ksp.gov.in,Active,2018-06-15
OFF034,CASE00030,Bengaluru Rural Officer 9,Crime Branch Specialist,Bengaluru Rural Town PS,948080029,R006,DES007,U010,DIS002,ST001,officer.off034@ksp.gov.in,Active,2018-06-15
OFF035,CASE00031,Bengaluru Rural Officer 10,Superintendent of Police,Bengaluru Rural Central PS,948080030,R005,DES005,U011,DIS002,ST001,officer.off035@ksp.gov.in,Active,2018-06-15
OFF036,CASE00032,Bengaluru Rural Officer 11,Deputy Superintendent of Police,Bengaluru Rural Cyber Crime PS,948080031,R006,DES005,U012,DIS002,ST001,officer.off036@ksp.gov.in,Active,2018-06-15
OFF037,CASE00033,Bengaluru Rural Officer 12,Circle Inspector,Bengaluru Rural Traffic PS,948080032,R007,DES001,U013,DIS002,ST001,officer.off037@ksp.gov.in,Active,2018-06-15
OFF038,CASE00034,Bengaluru Rural Officer 13,Police Sub-Inspector,Bengaluru Rural Town PS,948080033,R008,DES002,U010,DIS002,ST001,officer.off038@ksp.gov.in,Active,2018-06-15
OFF039,CASE00035,Bengaluru Rural Officer 14,Assistant Sub-Inspector,Bengaluru Rural Central PS,948080034,R009,DES003,U011,DIS002,ST001,officer.off039@ksp.gov.in,Active,2018-06-15
OFF040,CASE00036,Bengaluru Rural Officer 15,Head Constable,Bengaluru Rural Cyber Crime PS,948080035,R010,DES009,U012,DIS002,ST001,officer.off040@ksp.gov.in,Active,2018-06-15
OFF041,CASE00037,Ramanagara Officer 1,Superintendent of Police,Ramanagara Town PS,948080036,R005,DES005,U014,DIS003,ST001,officer.off041@ksp.gov.in,Active,2018-06-15
OFF042,CASE00038,Ramanagara Officer 2,Deputy Superintendent of Police,Ramanagara Central PS,948080037,R006,DES005,U015,DIS003,ST001,officer.off042@ksp.gov.in,Active,2018-06-15
OFF043,CASE00039,Ramanagara Officer 3,Circle Inspector,Ramanagara Cyber Crime PS,948080038,R007,DES001,U016,DIS003,ST001,officer.off043@ksp.gov.in,Active,2018-06-15
OFF044,CASE00040,Ramanagara Officer 4,Police Sub-Inspector,Ramanagara Traffic PS,948080039,R008,DES002,U017,DIS003,ST001,officer.off044@ksp.gov.in,Active,2018-06-15
OFF045,CASE00041,Ramanagara Officer 5,Assistant Sub-Inspector,Ramanagara Town PS,948080040,R009,DES003,U014,DIS003,ST001,officer.off045@ksp.gov.in,Active,2018-06-15
OFF046,CASE00042,Ramanagara Officer 6,Head Constable,Ramanagara Central PS,948080041,R010,DES009,U015,DIS003,ST001,officer.off046@ksp.gov.in,Active,2018-06-15
OFF047,CASE00043,Ramanagara Officer 7,Police Constable,Ramanagara Cyber Crime PS,948080042,R010,DES009,U016,DIS003,ST001,officer.off047@ksp.gov.in,Active,2018-06-15
OFF048,CASE00044,Ramanagara Officer 8,CID Officer,Ramanagara Traffic PS,948080043,R004,DES004,U017,DIS003,ST001,officer.off048@ksp.gov.in,Active,2018-06-15
OFF049,CASE00045,Ramanagara Officer 9,Crime Branch Specialist,Ramanagara Town PS,948080044,R006,DES007,U014,DIS003,ST001,officer.off049@ksp.gov.in,Active,2018-06-15
OFF050,CASE00046,Ramanagara Officer 10,Superintendent of Police,Ramanagara Central PS,948080045,R005,DES005,U015,DIS003,ST001,officer.off050@ksp.gov.in,Active,2018-06-15
OFF051,CASE00047,Ramanagara Officer 11,Deputy Superintendent of Police,Ramanagara Cyber Crime PS,948080046,R006,DES005,U016,DIS003,ST001,officer.off051@ksp.gov.in,Active,2018-06-15
OFF052,CASE00048,Ramanagara Officer 12,Circle Inspector,Ramanagara Traffic PS,948080047,R007,DES001,U017,DIS003,ST001,officer.off052@ksp.gov.in,Active,2018-06-15
OFF053,CASE00049,Ramanagara Officer 13,Police Sub-Inspector,Ramanagara Town PS,948080048,R008,DES002,U014,DIS003,ST001,officer.off053@ksp.gov.in,Active,2018-06-15
OFF054,CASE00050,Ramanagara Officer 14,Assistant Sub-Inspector,Ramanagara Central PS,948080049,R009,DES003,U015,DIS003,ST001,officer.off054@ksp.gov.in,Active,2018-06-15
OFF055,CASE00051,Ramanagara Officer 15,Head Constable,Ramanagara Cyber Crime PS,948080050,R010,DES009,U016,DIS003,ST001,officer.off055@ksp.gov.in,Active,2018-06-15
OFF056,CASE00052,Chikkaballapura Officer 1,Superintendent of Police,Chikkaballapura Town PS,948080051,R005,DES005,U018,DIS004,ST001,officer.off056@ksp.gov.in,Active,2018-06-15
OFF057,CASE00053,Chikkaballapura Officer 2,Deputy Superintendent of Police,Chikkaballapura Central PS,948080052,R006,DES005,U019,DIS004,ST001,officer.off057@ksp.gov.in,Active,2018-06-15
OFF058,CASE00054,Chikkaballapura Officer 3,Circle Inspector,Chikkaballapura Cyber Crime PS,948080053,R007,DES001,U020,DIS004,ST001,officer.off058@ksp.gov.in,Active,2018-06-15
OFF059,CASE00055,Chikkaballapura Officer 4,Police Sub-Inspector,Chikkaballapura Traffic PS,948080054,R008,DES002,U021,DIS004,ST001,officer.off059@ksp.gov.in,Active,2018-06-15
OFF060,CASE00056,Chikkaballapura Officer 5,Assistant Sub-Inspector,Chikkaballapura Town PS,948080055,R009,DES003,U018,DIS004,ST001,officer.off060@ksp.gov.in,Active,2018-06-15
OFF061,CASE00057,Chikkaballapura Officer 6,Head Constable,Chikkaballapura Central PS,948080056,R010,DES009,U019,DIS004,ST001,officer.off061@ksp.gov.in,Active,2018-06-15
OFF062,CASE00058,Chikkaballapura Officer 7,Police Constable,Chikkaballapura Cyber Crime PS,948080057,R010,DES009,U020,DIS004,ST001,officer.off062@ksp.gov.in,Active,2018-06-15
OFF063,CASE00059,Chikkaballapura Officer 8,CID Officer,Chikkaballapura Traffic PS,948080058,R004,DES004,U021,DIS004,ST001,officer.off063@ksp.gov.in,Active,2018-06-15
OFF064,CASE00060,Chikkaballapura Officer 9,Crime Branch Specialist,Chikkaballapura Town PS,948080059,R006,DES007,U018,DIS004,ST001,officer.off064@ksp.gov.in,Active,2018-06-15
OFF065,CASE00061,Chikkaballapura Officer 10,Superintendent of Police,Chikkaballapura Central PS,948080060,R005,DES005,U019,DIS004,ST001,officer.off065@ksp.gov.in,Active,2018-06-15
OFF066,CASE00062,Chikkaballapura Officer 11,Deputy Superintendent of Police,Chikkaballapura Cyber Crime PS,948080061,R006,DES005,U020,DIS004,ST001,officer.off066@ksp.gov.in,Active,2018-06-15
OFF067,CASE00063,Chikkaballapura Officer 12,Circle Inspector,Chikkaballapura Traffic PS,948080062,R007,DES001,U021,DIS004,ST001,officer.off067@ksp.gov.in,Active,2018-06-15
OFF068,CASE00064,Chikkaballapura Officer 13,Police Sub-Inspector,Chikkaballapura Town PS,948080063,R008,DES002,U018,DIS004,ST001,officer.off068@ksp.gov.in,Active,2018-06-15
OFF069,CASE00065,Chikkaballapura Officer 14,Assistant Sub-Inspector,Chikkaballapura Central PS,948080064,R009,DES003,U019,DIS004,ST001,officer.off069@ksp.gov.in,Active,2018-06-15
OFF070,CASE00066,Chikkaballapura Officer 15,Head Constable,Chikkaballapura Cyber Crime PS,948080065,R010,DES009,U020,DIS004,ST001,officer.off070@ksp.gov.in,Active,2018-06-15
OFF071,CASE00067,Kolar Officer 1,Superintendent of Police,Kolar Town PS,948080066,R005,DES005,U022,DIS005,ST001,officer.off071@ksp.gov.in,Active,2018-06-15
OFF072,CASE00068,Kolar Officer 2,Deputy Superintendent of Police,Kolar Central PS,948080067,R006,DES005,U023,DIS005,ST001,officer.off072@ksp.gov.in,Active,2018-06-15
OFF073,CASE00069,Kolar Officer 3,Circle Inspector,Kolar Cyber Crime PS,948080068,R007,DES001,U024,DIS005,ST001,officer.off073@ksp.gov.in,Active,2018-06-15
OFF074,CASE00070,Kolar Officer 4,Police Sub-Inspector,Kolar Traffic PS,948080069,R008,DES002,U025,DIS005,ST001,officer.off074@ksp.gov.in,Active,2018-06-15
OFF075,CASE00071,Kolar Officer 5,Assistant Sub-Inspector,Kolar Town PS,948080070,R009,DES003,U022,DIS005,ST001,officer.off075@ksp.gov.in,Active,2018-06-15
OFF076,CASE00072,Kolar Officer 6,Head Constable,Kolar Central PS,948080071,R010,DES009,U023,DIS005,ST001,officer.off076@ksp.gov.in,Active,2018-06-15
OFF077,CASE00073,Kolar Officer 7,Police Constable,Kolar Cyber Crime PS,948080072,R010,DES009,U024,DIS005,ST001,officer.off077@ksp.gov.in,Active,2018-06-15
OFF078,CASE00074,Kolar Officer 8,CID Officer,Kolar Traffic PS,948080073,R004,DES004,U025,DIS005,ST001,officer.off078@ksp.gov.in,Active,2018-06-15
OFF079,CASE00075,Kolar Officer 9,Crime Branch Specialist,Kolar Town PS,948080074,R006,DES007,U022,DIS005,ST001,officer.off079@ksp.gov.in,Active,2018-06-15
OFF080,CASE00076,Kolar Officer 10,Superintendent of Police,Kolar Central PS,948080075,R005,DES005,U023,DIS005,ST001,officer.off080@ksp.gov.in,Active,2018-06-15
OFF081,CASE00077,Kolar Officer 11,Deputy Superintendent of Police,Kolar Cyber Crime PS,948080076,R006,DES005,U024,DIS005,ST001,officer.off081@ksp.gov.in,Active,2018-06-15
OFF082,CASE00078,Kolar Officer 12,Circle Inspector,Kolar Traffic PS,948080077,R007,DES001,U025,DIS005,ST001,officer.off082@ksp.gov.in,Active,2018-06-15
OFF083,CASE00079,Kolar Officer 13,Police Sub-Inspector,Kolar Town PS,948080078,R008,DES002,U022,DIS005,ST001,officer.off083@ksp.gov.in,Active,2018-06-15
OFF084,CASE00080,Kolar Officer 14,Assistant Sub-Inspector,Kolar Central PS,948080079,R009,DES003,U023,DIS005,ST001,officer.off084@ksp.gov.in,Active,2018-06-15
OFF085,CASE00081,Kolar Officer 15,Head Constable,Kolar Cyber Crime PS,948080080,R010,DES009,U024,DIS005,ST001,officer.off085@ksp.gov.in,Active,2018-06-15
OFF086,CASE00082,Tumakuru Officer 1,Superintendent of Police,Tumakuru Town PS,948080081,R005,DES005,U026,DIS006,ST001,officer.off086@ksp.gov.in,Active,2018-06-15
OFF087,CASE00083,Tumakuru Officer 2,Deputy Superintendent of Police,Tumakuru Central PS,948080082,R006,DES005,U027,DIS006,ST001,officer.off087@ksp.gov.in,Active,2018-06-15
OFF088,CASE00084,Tumakuru Officer 3,Circle Inspector,Tumakuru Cyber Crime PS,948080083,R007,DES001,U028,DIS006,ST001,officer.off088@ksp.gov.in,Active,2018-06-15
OFF089,CASE00085,Tumakuru Officer 4,Police Sub-Inspector,Tumakuru Traffic PS,948080084,R008,DES002,U029,DIS006,ST001,officer.off089@ksp.gov.in,Active,2018-06-15
OFF090,CASE00086,Tumakuru Officer 5,Assistant Sub-Inspector,Tumakuru Town PS,948080085,R009,DES003,U026,DIS006,ST001,officer.off090@ksp.gov.in,Active,2018-06-15
OFF091,CASE00087,Tumakuru Officer 6,Head Constable,Tumakuru Central PS,948080086,R010,DES009,U027,DIS006,ST001,officer.off091@ksp.gov.in,Active,2018-06-15
OFF092,CASE00088,Tumakuru Officer 7,Police Constable,Tumakuru Cyber Crime PS,948080087,R010,DES009,U028,DIS006,ST001,officer.off092@ksp.gov.in,Active,2018-06-15
OFF093,CASE00089,Tumakuru Officer 8,CID Officer,Tumakuru Traffic PS,948080088,R004,DES004,U029,DIS006,ST001,officer.off093@ksp.gov.in,Active,2018-06-15
OFF094,CASE00090,Tumakuru Officer 9,Crime Branch Specialist,Tumakuru Town PS,948080089,R006,DES007,U026,DIS006,ST001,officer.off094@ksp.gov.in,Active,2018-06-15
OFF095,CASE00091,Tumakuru Officer 10,Superintendent of Police,Tumakuru Central PS,948080090,R005,DES005,U027,DIS006,ST001,officer.off095@ksp.gov.in,Active,2018-06-15
OFF096,CASE00092,Tumakuru Officer 11,Deputy Superintendent of Police,Tumakuru Cyber Crime PS,948080091,R006,DES005,U028,DIS006,ST001,officer.off096@ksp.gov.in,Active,2018-06-15
OFF097,CASE00093,Tumakuru Officer 12,Circle Inspector,Tumakuru Traffic PS,948080092,R007,DES001,U029,DIS006,ST001,officer.off097@ksp.gov.in,Active,2018-06-15
OFF098,CASE00094,Tumakuru Officer 13,Police Sub-Inspector,Tumakuru Town PS,948080093,R008,DES002,U026,DIS006,ST001,officer.off098@ksp.gov.in,Active,2018-06-15
OFF099,CASE00095,Tumakuru Officer 14,Assistant Sub-Inspector,Tumakuru Central PS,948080094,R009,DES003,U027,DIS006,ST001,officer.off099@ksp.gov.in,Active,2018-06-15
OFF100,CASE00096,Tumakuru Officer 15,Head Constable,Tumakuru Cyber Crime PS,948080095,R010,DES009,U028,DIS006,ST001,officer.off100@ksp.gov.in,Active,2018-06-15
OFF101,CASE00097,Shivamogga Officer 1,Superintendent of Police,Shivamogga Town PS,948080096,R005,DES005,U030,DIS007,ST001,officer.off101@ksp.gov.in,Active,2018-06-15
OFF102,CASE00098,Shivamogga Officer 2,Deputy Superintendent of Police,Shivamogga Central PS,948080097,R006,DES005,U031,DIS007,ST001,officer.off102@ksp.gov.in,Active,2018-06-15
OFF103,CASE00099,Shivamogga Officer 3,Circle Inspector,Shivamogga Cyber Crime PS,948080098,R007,DES001,U032,DIS007,ST001,officer.off103@ksp.gov.in,Active,2018-06-15
OFF104,CASE00100,Shivamogga Officer 4,Police Sub-Inspector,Shivamogga Traffic PS,948080099,R008,DES002,U033,DIS007,ST001,officer.off104@ksp.gov.in,Active,2018-06-15
OFF105,CASE00001,Shivamogga Officer 5,Assistant Sub-Inspector,Shivamogga Town PS,948080100,R009,DES003,U030,DIS007,ST001,officer.off105@ksp.gov.in,Active,2018-06-15
OFF106,CASE00002,Shivamogga Officer 6,Head Constable,Shivamogga Central PS,948080101,R010,DES009,U031,DIS007,ST001,officer.off106@ksp.gov.in,Active,2018-06-15
OFF107,CASE00003,Shivamogga Officer 7,Police Constable,Shivamogga Cyber Crime PS,948080102,R010,DES009,U032,DIS007,ST001,officer.off107@ksp.gov.in,Active,2018-06-15
OFF108,CASE00004,Shivamogga Officer 8,CID Officer,Shivamogga Traffic PS,948080103,R004,DES004,U033,DIS007,ST001,officer.off108@ksp.gov.in,Active,2018-06-15
OFF109,CASE00005,Shivamogga Officer 9,Crime Branch Specialist,Shivamogga Town PS,948080104,R006,DES007,U030,DIS007,ST001,officer.off109@ksp.gov.in,Active,2018-06-15
OFF110,CASE00006,Shivamogga Officer 10,Superintendent of Police,Shivamogga Central PS,948080105,R005,DES005,U031,DIS007,ST001,officer.off110@ksp.gov.in,Active,2018-06-15
OFF111,CASE00007,Shivamogga Officer 11,Deputy Superintendent of Police,Shivamogga Cyber Crime PS,948080106,R006,DES005,U032,DIS007,ST001,officer.off111@ksp.gov.in,Active,2018-06-15
OFF112,CASE00008,Shivamogga Officer 12,Circle Inspector,Shivamogga Traffic PS,948080107,R007,DES001,U033,DIS007,ST001,officer.off112@ksp.gov.in,Active,2018-06-15
OFF113,CASE00009,Shivamogga Officer 13,Police Sub-Inspector,Shivamogga Town PS,948080108,R008,DES002,U030,DIS007,ST001,officer.off113@ksp.gov.in,Active,2018-06-15
OFF114,CASE00010,Shivamogga Officer 14,Assistant Sub-Inspector,Shivamogga Central PS,948080109,R009,DES003,U031,DIS007,ST001,officer.off114@ksp.gov.in,Active,2018-06-15
OFF115,CASE00011,Shivamogga Officer 15,Head Constable,Shivamogga Cyber Crime PS,948080110,R010,DES009,U032,DIS007,ST001,officer.off115@ksp.gov.in,Active,2018-06-15
OFF116,CASE00012,Chitradurga Officer 1,Superintendent of Police,Chitradurga Town PS,948080111,R005,DES005,U034,DIS008,ST001,officer.off116@ksp.gov.in,Active,2018-06-15
OFF117,CASE00013,Chitradurga Officer 2,Deputy Superintendent of Police,Chitradurga Central PS,948080112,R006,DES005,U035,DIS008,ST001,officer.off117@ksp.gov.in,Active,2018-06-15
OFF118,CASE00014,Chitradurga Officer 3,Circle Inspector,Chitradurga Cyber Crime PS,948080113,R007,DES001,U036,DIS008,ST001,officer.off118@ksp.gov.in,Active,2018-06-15
OFF119,CASE00015,Chitradurga Officer 4,Police Sub-Inspector,Chitradurga Traffic PS,948080114,R008,DES002,U037,DIS008,ST001,officer.off119@ksp.gov.in,Active,2018-06-15
OFF120,CASE00016,Chitradurga Officer 5,Assistant Sub-Inspector,Chitradurga Town PS,948080115,R009,DES003,U034,DIS008,ST001,officer.off120@ksp.gov.in,Active,2018-06-15
OFF121,CASE00017,Chitradurga Officer 6,Head Constable,Chitradurga Central PS,948080116,R010,DES009,U035,DIS008,ST001,officer.off121@ksp.gov.in,Active,2018-06-15
OFF122,CASE00018,Chitradurga Officer 7,Police Constable,Chitradurga Cyber Crime PS,948080117,R010,DES009,U036,DIS008,ST001,officer.off122@ksp.gov.in,Active,2018-06-15
OFF123,CASE00019,Chitradurga Officer 8,CID Officer,Chitradurga Traffic PS,948080118,R004,DES004,U037,DIS008,ST001,officer.off123@ksp.gov.in,Active,2018-06-15
OFF124,CASE00020,Chitradurga Officer 9,Crime Branch Specialist,Chitradurga Town PS,948080119,R006,DES007,U034,DIS008,ST001,officer.off124@ksp.gov.in,Active,2018-06-15
OFF125,CASE00021,Chitradurga Officer 10,Superintendent of Police,Chitradurga Central PS,948080120,R005,DES005,U035,DIS008,ST001,officer.off125@ksp.gov.in,Active,2018-06-15
OFF126,CASE00022,Chitradurga Officer 11,Deputy Superintendent of Police,Chitradurga Cyber Crime PS,948080121,R006,DES005,U036,DIS008,ST001,officer.off126@ksp.gov.in,Active,2018-06-15
OFF127,CASE00023,Chitradurga Officer 12,Circle Inspector,Chitradurga Traffic PS,948080122,R007,DES001,U037,DIS008,ST001,officer.off127@ksp.gov.in,Active,2018-06-15
OFF128,CASE00024,Chitradurga Officer 13,Police Sub-Inspector,Chitradurga Town PS,948080123,R008,DES002,U034,DIS008,ST001,officer.off128@ksp.gov.in,Active,2018-06-15
OFF129,CASE00025,Chitradurga Officer 14,Assistant Sub-Inspector,Chitradurga Central PS,948080124,R009,DES003,U035,DIS008,ST001,officer.off129@ksp.gov.in,Active,2018-06-15
OFF130,CASE00026,Chitradurga Officer 15,Head Constable,Chitradurga Cyber Crime PS,948080125,R010,DES009,U036,DIS008,ST001,officer.off130@ksp.gov.in,Active,2018-06-15
OFF131,CASE00027,Davanagere Officer 1,Superintendent of Police,Davanagere Town PS,948080126,R005,DES005,U038,DIS009,ST001,officer.off131@ksp.gov.in,Active,2018-06-15
OFF132,CASE00028,Davanagere Officer 2,Deputy Superintendent of Police,Davanagere Central PS,948080127,R006,DES005,U039,DIS009,ST001,officer.off132@ksp.gov.in,Active,2018-06-15
OFF133,CASE00029,Davanagere Officer 3,Circle Inspector,Davanagere Cyber Crime PS,948080128,R007,DES001,U040,DIS009,ST001,officer.off133@ksp.gov.in,Active,2018-06-15
OFF134,CASE00030,Davanagere Officer 4,Police Sub-Inspector,Davanagere Traffic PS,948080129,R008,DES002,U041,DIS009,ST001,officer.off134@ksp.gov.in,Active,2018-06-15
OFF135,CASE00031,Davanagere Officer 5,Assistant Sub-Inspector,Davanagere Town PS,948080130,R009,DES003,U038,DIS009,ST001,officer.off135@ksp.gov.in,Active,2018-06-15
OFF136,CASE00032,Davanagere Officer 6,Head Constable,Davanagere Central PS,948080131,R010,DES009,U039,DIS009,ST001,officer.off136@ksp.gov.in,Active,2018-06-15
OFF137,CASE00033,Davanagere Officer 7,Police Constable,Davanagere Cyber Crime PS,948080132,R010,DES009,U040,DIS009,ST001,officer.off137@ksp.gov.in,Active,2018-06-15
OFF138,CASE00034,Davanagere Officer 8,CID Officer,Davanagere Traffic PS,948080133,R004,DES004,U041,DIS009,ST001,officer.off138@ksp.gov.in,Active,2018-06-15
OFF139,CASE00035,Davanagere Officer 9,Crime Branch Specialist,Davanagere Town PS,948080134,R006,DES007,U038,DIS009,ST001,officer.off139@ksp.gov.in,Active,2018-06-15
OFF140,CASE00036,Davanagere Officer 10,Superintendent of Police,Davanagere Central PS,948080135,R005,DES005,U039,DIS009,ST001,officer.off140@ksp.gov.in,Active,2018-06-15
OFF141,CASE00037,Davanagere Officer 11,Deputy Superintendent of Police,Davanagere Cyber Crime PS,948080136,R006,DES005,U040,DIS009,ST001,officer.off141@ksp.gov.in,Active,2018-06-15
OFF142,CASE00038,Davanagere Officer 12,Circle Inspector,Davanagere Traffic PS,948080137,R007,DES001,U041,DIS009,ST001,officer.off142@ksp.gov.in,Active,2018-06-15
OFF143,CASE00039,Davanagere Officer 13,Police Sub-Inspector,Davanagere Town PS,948080138,R008,DES002,U038,DIS009,ST001,officer.off143@ksp.gov.in,Active,2018-06-15
OFF144,CASE00040,Davanagere Officer 14,Assistant Sub-Inspector,Davanagere Central PS,948080139,R009,DES003,U039,DIS009,ST001,officer.off144@ksp.gov.in,Active,2018-06-15
OFF145,CASE00041,Davanagere Officer 15,Head Constable,Davanagere Cyber Crime PS,948080140,R010,DES009,U040,DIS009,ST001,officer.off145@ksp.gov.in,Active,2018-06-15
OFF146,CASE00042,Mysuru Officer 1,Superintendent of Police,Mysuru Town PS,948080141,R005,DES005,U042,DIS010,ST001,officer.off146@ksp.gov.in,Active,2018-06-15
OFF147,CASE00043,Mysuru Officer 2,Deputy Superintendent of Police,Mysuru Central PS,948080142,R006,DES005,U043,DIS010,ST001,officer.off147@ksp.gov.in,Active,2018-06-15
OFF148,CASE00044,Mysuru Officer 3,Circle Inspector,Mysuru Cyber Crime PS,948080143,R007,DES001,U044,DIS010,ST001,officer.off148@ksp.gov.in,Active,2018-06-15
OFF149,CASE00045,Mysuru Officer 4,Police Sub-Inspector,Mysuru Traffic PS,948080144,R008,DES002,U045,DIS010,ST001,officer.off149@ksp.gov.in,Active,2018-06-15
OFF150,CASE00046,Mysuru Officer 5,Assistant Sub-Inspector,Mysuru Town PS,948080145,R009,DES003,U042,DIS010,ST001,officer.off150@ksp.gov.in,Active,2018-06-15
OFF151,CASE00047,Mysuru Officer 6,Head Constable,Mysuru Central PS,948080146,R010,DES009,U043,DIS010,ST001,officer.off151@ksp.gov.in,Active,2018-06-15
