ComplaintID,CaseID,ComplaintDate,ComplainantName,ContactNumber,ComplaintText,PoliceStation,Status
CMP00015,KSP/DIS015/2026/00015,2026-04-16,Ananya Joshi,9876110015,"ATM Fraud reported at Dakshina Kannada (Mangaluru) Cyber Crime PS, Dakshina Kannada (Mangaluru). Brief: ATM skimming device or card cloning. Incident occurred near Dakshina Kannada (Mangaluru) Cyber Crime PS, Dakshina Kannada (Mangaluru), Karnataka.",Dakshina Kannada (Mangaluru) Cyber Crime PS,Assigned to IO
CMP00016,KSP/DIS016/2026/00016,2026-05-17,Deepak Naik,9876110016,"Rape reported at Udupi Traffic PS, Udupi. Brief: Penal Code Section 376 prosecution. Incident occurred near Udupi Traffic PS, Udupi, Karnataka.",Udupi Traffic PS,Assigned to IO
CMP00017,KSP/DIS017/2026/00017,2026-06-18,Sanjay Iyengar,9876110017,"Sexual Assault reported at Uttara Kannada (Karwar) Town PS, Uttara Kannada (Karwar). Brief: Outraging modesty and sexual harassment. Incident occurred near Uttara Kannada (Karwar) Town PS, Uttara Kannada (Karwar), Karnataka.",Uttara Kannada (Karwar) Town PS,Assigned to IO
CMP00018,KSP/DIS018/2026/00018,2026-07-19,Pooja Gowda,9876110018,"POCSO reported at Belagavi Central PS, Belagavi. Brief: Protection of Children from Sexual Offences Act case. Incident occurred near Belagavi Central PS, Belagavi, Karnataka.",Belagavi Central PS,Assigned to IO
CMP00019,KSP/DIS019/2026/00019,2026-08-20,Santosh Patil,9876110019,"Domestic Violence reported at Dharwad Cyber Crime PS, Dharwad. Brief: Spousal abuse and dowry harassment IPC 498A. Incident occurred near Dharwad Cyber Crime PS, Dharwad, Karnataka.",Dharwad Cyber Crime PS,Assigned to IO
CMP00020,KSP/DIS020/2026/00020,2026-09-21,Ramesh Kumar,9876110020,"Illegal Weapons reported at Hubballi City Traffic PS, Hubballi City. Brief: Arms Act violation involving unlicensed firearms. Incident occurred near Hubballi City Traffic PS, Hubballi City, Karnataka.",Hubballi City Traffic PS,Assigned to IO
CMP00021,KSP/DIS021/2026/00021,2026-10-22,Sunita Rao,9876110021,"Drug Trafficking reported at Gadag Town PS, Gadag. Brief: NDPS Act commercial quantity drug seizure. Incident occurred near Gadag Town PS, Gadag, Karnataka.",Gadag Town PS,Assigned to IO
CMP00022,KSP/DIS022/2026/00022,2026-11-23,Vijay Sharma,9876110022,"Human Trafficking reported at Haveri Central PS, Haveri. Brief: Forced labor or trafficking rescue operation. Incident occurred near Haveri Central PS, Haveri, Karnataka.",Haveri Central PS,Assigned to IO
CMP00023,KSP/DIS023/2026/00023,2026-12-24,Manjunath Nair,9876110023,"Gambling reported at Vijayapura Cyber Crime PS, Vijayapura. Brief: Illegal betting & Matka operation bust. Incident occurred near Vijayapura Cyber Crime PS, Vijayapura, Karnataka.",Vijayapura Cyber Crime PS,Assigned to IO
CMP00024,KSP/DIS024/2026/00024,2026-01-25,Meena Verma,9876110024,"Wildlife Crime reported at Bagalkote Traffic PS, Bagalkote. Brief: Poaching of protected species or ivory seizure. Incident occurred near Bagalkote Traffic PS, Bagalkote, Karnataka.",Bagalkote Traffic PS,Assigned to IO
CMP00025,KSP/DIS025/2026/00025,2026-02-26,Anil Reddy,9876110025,"Forest Crime reported at Kalaburagi Town PS, Kalaburagi. Brief: Illegal sandalwood or timber smuggling. Incident occurred near Kalaburagi Town PS, Kalaburagi, Karnataka.",Kalaburagi Town PS,Assigned to IO
CMP00026,KSP/DIS026/2026/00026,2026-03-27,Sunil Khan,9876110026,"Terror Related Activity reported at Bidar Central PS, Bidar. Brief: Unlawful Activities Prevention Act (UAPA) investigation. Incident occurred near Bidar Central PS, Bidar, Karnataka.",Bidar Central PS,Assigned to IO
CMP00027,KSP/DIS027/2026/00027,2026-04-28,Bhavya Mehta,9876110027,"Corruption reported at Raichur Cyber Crime PS, Raichur. Brief: Prevention of Corruption Act bribe trap. Incident occurred near Raichur Cyber Crime PS, Raichur, Karnataka.",Raichur Cyber Crime PS,Assigned to IO
CMP00028,KSP/DIS028/2026/00028,2026-05-01,Ganesh Kulkarni,9876110028,"Economic Offence reported at Koppal Traffic PS, Koppal. Brief: Multi-crore Ponzi scheme or financial fraud. Incident occurred near Koppal Traffic PS, Koppal, Karnataka.",Koppal Traffic PS,Assigned to IO
CMP00029,KSP/DIS029/2026/00029,2026-06-02,Nitin Hegde,9876110029,"White Collar Crime reported at Yadgir Town PS, Yadgir. Brief: Corporate embezzlement or insider fraud. Incident occurred near Yadgir Town PS, Yadgir, Karnataka.",Yadgir Town PS,Assigned to IO
CMP00030,KSP/DIS030/2026/00030,2026-07-03,Ananya Shetty,9876110030,"Smuggling reported at Ballari Central PS, Ballari. Brief: Contraband gold or red sanders interception. Incident occurred near Ballari Central PS, Ballari, Karnataka.",Ballari Central PS,Assigned to IO
CMP00031,KSP/DIS031/2026/00031,2026-08-04,Vikas Bhat,9876110031,"Extortion reported at Vijayanagara (Hospete) Cyber Crime PS, Vijayanagara (Hospete). Brief: Demanding protection money under threat. Incident occurred near Vijayanagara (Hospete) Cyber Crime PS, Vijayanagara (Hospete), Karnataka.",Vijayanagara (Hospete) Cyber Crime PS,Assigned to IO
CMP00032,KSP/DIS001/2026/00032,2026-09-05,Rahul Deshmukh,9876110032,"Blackmail reported at Cubbon Park Police Station, Bengaluru Urban. Brief: Chantaje or extortion via compromised media. Incident occurred near Cubbon Park Police Station, Bengaluru Urban, Karnataka.",Cubbon Park Police Station,Assigned to IO
CMP00033,KSP/DIS002/2026/00033,2026-10-06,Pooja Joshi,9876110033,"Counterfeit Currency reported at Bengaluru Rural Town PS, Bengaluru Rural. Brief: FICN high-quality fake currency notes circulating. Incident occurred near Bengaluru Rural Town PS, Bengaluru Rural, Karnataka.",Bengaluru Rural Town PS,Assigned to IO
CMP00034,KSP/DIS003/2026/00034,2026-11-07,Ajay Naik,9876110034,"Fake Documents reported at Ramanagara Central PS, Ramanagara. Brief: Forgery of land title deeds or government IDs. Incident occurred near Ramanagara Central PS, Ramanagara, Karnataka.",Ramanagara Central PS,Assigned to IO
CMP00035,KSP/DIS004/2026/00035,2026-12-08,Rohan Iyengar,9876110035,"Hit and Run reported at Chikkaballapura Cyber Crime PS, Chikkaballapura. Brief: Fatal vehicular collision where driver fled scene. Incident occurred near Chikkaballapura Cyber Crime PS, Chikkaballapura, Karnataka.",Chikkaballapura Cyber Crime PS,Assigned to IO
CMP00036,KSP/DIS005/2026/00036,2026-01-09,Sunita Gowda,9876110036,"Road Accident reported at Kolar Traffic PS, Kolar. Brief: Negligent driving causing injury IPC 279/338. Incident occurred near Kolar Traffic PS, Kolar, Karnataka.",Kolar Traffic PS,Assigned to IO
CMP00037,KSP/DIS006/2026/00037,2026-02-10,Sanjay Patil,9876110037,"Fire Incident reported at Tumakuru Town PS, Tumakuru. Brief: Industrial or residential fire accident inquiry. Incident occurred near Tumakuru Town PS, Tumakuru, Karnataka.",Tumakuru Town PS,Assigned to IO
CMP00038,KSP/DIS007/2026/00038,2026-03-11,Mahesh Kumar,9876110038,"Unknown Dead Body reported at Shivamogga Central PS, Shivamogga. Brief: Unidentified corpse inquest Section 174 CrPC. Incident occurred near Shivamogga Central PS, Shivamogga, Karnataka.",Shivamogga Central PS,Assigned to IO
CMP00039,KSP/DIS008/2026/00039,2026-04-12,Meena Rao,9876110039,"Suicide Investigation reported at Chitradurga Cyber Crime PS, Chitradurga. Brief: Unnatural death and suicide note inquiry. Incident occurred near Chitradurga Cyber Crime PS, Chitradurga, Karnataka.",Chitradurga Cyber Crime PS,Assigned to IO
CMP00040,KSP/DIS009/2026/00040,2026-05-13,Ramesh Sharma,9876110040,"Property Disputes reported at Davanagere Traffic PS, Davanagere. Brief: Civil boundary dispute causing law and order friction. Incident occurred near Davanagere Traffic PS, Davanagere, Karnataka.",Davanagere Traffic PS,Assigned to IO
CMP00041,KSP/DIS010/2026/00041,2026-06-14,Suresh Nair,9876110041,"Public Disturbance reported at Mysuru Town PS, Mysuru. Brief: Unlawful assembly, rioting, or public brawl. Incident occurred near Mysuru Town PS, Mysuru, Karnataka.",Mysuru Town PS,Assigned to IO
CMP00042,KSP/DIS011/2026/00042,2026-07-15,Bhavya Verma,9876110042,"Synthetic Drugs (MDMA) reported at Mandya Central PS, Mandya. Brief: Commercial seizure of MDMA / Methamphetamine. Incident occurred near Mandya Central PS, Mandya, Karnataka.",Mandya Central PS,Assigned to IO
CMP00043,KSP/DIS012/2026/00043,2026-08-16,Manjunath Reddy,9876110043,"Murder reported at Hassan Cyber Crime PS, Hassan. Brief: Premeditated homicide investigation. Incident occurred near Hassan Cyber Crime PS, Hassan, Karnataka.",Hassan Cyber Crime PS,Assigned to IO
CMP00044,KSP/DIS013/2026/00044,2026-09-17,Karthik Khan,9876110044,"Attempt to Murder reported at Chamarajanagara Traffic PS, Chamarajanagara. Brief: Violent assault with deadly weapon. Incident occurred near Chamarajanagara Traffic PS, Chamarajanagara, Karnataka.",Chamarajanagara Traffic PS,Assigned to IO
CMP00045,KSP/DIS014/2026/00045,2026-10-18,Ananya Mehta,9876110045,"Assault & Grievous Hurt reported at Kodagu Town PS, Kodagu. Brief: Physical injury caused during gang/group clash. Incident occurred near Kodagu Town PS, Kodagu, Karnataka.",Kodagu Town PS,Assigned to IO
CMP00046,KSP/DIS015/2026/00046,2026-11-19,Sunil Kulkarni,9876110046,"Kidnapping reported at Dakshina Kannada (Mangaluru) Central PS, Dakshina Kannada (Mangaluru). Brief: Abduction for ransom or coercion. Incident occurred near Dakshina Kannada (Mangaluru) Central PS, Dakshina Kannada (Mangaluru), Karnataka.",Dakshina Kannada (Mangaluru) Central PS,Assigned to IO
CMP00047,KSP/DIS016/2026/00047,2026-12-20,Praveen Hegde,9876110047,"Missing Person reported at Udupi Cyber Crime PS, Udupi. Brief: Trace & locate missing citizen petition. Incident occurred near Udupi Cyber Crime PS, Udupi, Karnataka.",Udupi Cyber Crime PS,Assigned to IO
CMP00048,KSP/DIS017/2026/00048,2026-01-21,Pooja Shetty,9876110048,"Theft reported at Uttara Kannada (Karwar) Traffic PS, Uttara Kannada (Karwar). Brief: Larceny of personal or commercial goods. Incident occurred near Uttara Kannada (Karwar) Traffic PS, Uttara Kannada (Karwar), Karnataka.",Uttara Kannada (Karwar) Traffic PS,Assigned to IO
CMP00049,KSP/DIS018/2026/00049,2026-02-22,Nitin Bhat,9876110049,"Vehicle Theft reported at Belagavi Town PS, Belagavi. Brief: Stolen motor vehicle or two-wheeler. Incident occurred near Belagavi Town PS, Belagavi, Karnataka.",Belagavi Town PS,Assigned to IO
CMP00050,KSP/DIS019/2026/00050,2026-03-23,Niranjan Deshmukh,9876110050,"Burglary reported at Dharwad Central PS, Dharwad. Brief: Overnight trespass and property theft. Incident occurred near Dharwad Central PS, Dharwad, Karnataka.",Dharwad Central PS,Assigned to IO
CMP00051,KSP/DIS020/2026/00051,2026-04-24,Sunita Joshi,9876110051,"Robbery reported at Hubballi City Cyber Crime PS, Hubballi City. Brief: Armed robbery using force or coercion. Incident occurred near Hubballi City Cyber Crime PS, Hubballi City, Karnataka.",Hubballi City Cyber Crime PS,Assigned to IO
CMP00052,KSP/DIS021/2026/00052,2026-05-25,Rahul Naik,9876110052,"Chain Snatching reported at Gadag Traffic PS, Gadag. Brief: Snatching jewelry from pedestrians on public road. Incident occurred near Gadag Traffic PS, Gadag, Karnataka.",Gadag Traffic PS,Assigned to IO
CMP00053,KSP/DIS022/2026/00053,2026-06-26,Imran Iyengar,9876110053,"Cyber Crime reported at Haveri Town PS, Haveri. Brief: Hacking, malware infection, IT Act violation. Incident occurred near Haveri Town PS, Haveri, Karnataka.",Haveri Town PS,Assigned to IO
CMP00054,KSP/DIS023/2026/00054,2026-07-27,Meena Gowda,9876110054,"UPI Fraud reported at Vijayapura Central PS, Vijayapura. Brief: Fake QR code or deceptive payment request. Incident occurred near Vijayapura Central PS, Vijayapura, Karnataka.",Vijayapura Central PS,Assigned to IO
CMP00055,KSP/DIS024/2026/00055,2026-08-28,Rohan Patil,9876110055,"Online Banking Fraud reported at Bagalkote Cyber Crime PS, Bagalkote. Brief: Phishing link leading to net banking unauthorized debit. Incident occurred near Bagalkote Cyber Crime PS, Bagalkote, Karnataka.",Bagalkote Cyber Crime PS,Assigned to IO
CMP00056,KSP/DIS025/2026/00056,2026-09-01,Deepak Kumar,9876110056,"Identity Theft reported at Kalaburagi Traffic PS, Kalaburagi. Brief: SIM swap or stolen credential impersonation. Incident occurred near Kalaburagi Traffic PS, Kalaburagi, Karnataka.",Kalaburagi Traffic PS,Assigned to IO
CMP00057,KSP/DIS026/2026/00057,2026-10-02,Bhavya Rao,9876110057,"ATM Fraud reported at Bidar Town PS, Bidar. Brief: ATM skimming device or card cloning. Incident occurred near Bidar Town PS, Bidar, Karnataka.",Bidar Town PS,Assigned to IO
CMP00058,KSP/DIS027/2026/00058,2026-11-03,Mahesh Sharma,9876110058,"Rape reported at Raichur Central PS, Raichur. Brief: Penal Code Section 376 prosecution. Incident occurred near Raichur Central PS, Raichur, Karnataka.",Raichur Central PS,Assigned to IO
CMP00059,KSP/DIS028/2026/00059,2026-12-04,Santosh Nair,9876110059,"Sexual Assault reported at Koppal Cyber Crime PS, Koppal. Brief: Outraging modesty and sexual harassment. Incident occurred near Koppal Cyber Crime PS, Koppal, Karnataka.",Koppal Cyber Crime PS,Assigned to IO
CMP00060,KSP/DIS029/2026/00060,2026-01-05,Ananya Verma,9876110060,"POCSO reported at Yadgir Traffic PS, Yadgir. Brief: Protection of Children from Sexual Offences Act case. Incident occurred near Yadgir Traffic PS, Yadgir, Karnataka.",Yadgir Traffic PS,Assigned to IO
CMP00061,KSP/DIS030/2026/00061,2026-02-06,Suresh Reddy,9876110061,"Domestic Violence reported at Ballari Town PS, Ballari. Brief: Spousal abuse and dowry harassment IPC 498A. Incident occurred near Ballari Town PS, Ballari, Karnataka.",Ballari Town PS,Assigned to IO
CMP00062,KSP/DIS031/2026/00062,2026-03-07,Vijay Khan,9876110062,"Illegal Weapons reported at Vijayanagara (Hospete) Central PS, Vijayanagara (Hospete). Brief: Arms Act violation involving unlicensed firearms. Incident occurred near Vijayanagara (Hospete) Central PS, Vijayanagara (Hospete), Karnataka.",Vijayanagara (Hospete) Central PS,Assigned to IO
CMP00063,KSP/DIS001/2026/00063,2026-04-08,Pooja Mehta,9876110063,"Drug Trafficking reported at Jayanagar Police Station, Bengaluru Urban. Brief: NDPS Act commercial quantity drug seizure. Incident occurred near Jayanagar Police Station, Bengaluru Urban, Karnataka.",Jayanagar Police Station,Assigned to IO
CMP00064,KSP/DIS002/2026/00064,2026-05-09,Karthik Kulkarni,9876110064,"Human Trafficking reported at Bengaluru Rural Traffic PS, Bengaluru Rural. Brief: Forced labor or trafficking rescue operation. Incident occurred near Bengaluru Rural Traffic PS, Bengaluru Rural, Karnataka.",Bengaluru Rural Traffic PS,Assigned to IO
CMP00065,KSP/DIS003/2026/00065,2026-06-10,Anil Hegde,9876110065,"Gambling reported at Ramanagara Town PS, Ramanagara. Brief: Illegal betting & Matka operation bust. Incident occurred near Ramanagara Town PS, Ramanagara, Karnataka.",Ramanagara Town PS,Assigned to IO
CMP00066,KSP/DIS004/2026/00066,2026-07-11,Sunita Shetty,9876110066,"Wildlife Crime reported at Chikkaballapura Central PS, Chikkaballapura. Brief: Poaching of protected species or ivory seizure. Incident occurred near Chikkaballapura Central PS, Chikkaballapura, Karnataka.",Chikkaballapura Central PS,Assigned to IO
CMP00067,KSP/DIS005/2026/00067,2026-08-12,Praveen Bhat,9876110067,"Forest Crime reported at Kolar Cyber Crime PS, Kolar. Brief: Illegal sandalwood or timber smuggling. Incident occurred near Kolar Cyber Crime PS, Kolar, Karnataka.",Kolar Cyber Crime PS,Assigned to IO
CMP00068,KSP/DIS006/2026/00068,2026-09-13,Ganesh Deshmukh,9876110068,"Terror Related Activity reported at Tumakuru Traffic PS, Tumakuru. Brief: Unlawful Activities Prevention Act (UAPA) investigation. Incident occurred near Tumakuru Traffic PS, Tumakuru, Karnataka.",Tumakuru Traffic PS,Assigned to IO
CMP00069,KSP/DIS007/2026/00069,2026-10-14,Meena Joshi,9876110069,"Corruption reported at Shivamogga Town PS, Shivamogga. Brief: Prevention of Corruption Act bribe trap. Incident occurred near Shivamogga Town PS, Shivamogga, Karnataka.",Shivamogga Town PS,Assigned to IO
CMP00070,KSP/DIS008/2026/00070,2026-11-15,Niranjan Naik,9876110070,"Economic Offence reported at Chitradurga Central PS, Chitradurga. Brief: Multi-crore Ponzi scheme or financial fraud. Incident occurred near Chitradurga Central PS, Chitradurga, Karnataka.",Chitradurga Central PS,Assigned to IO
CMP00071,KSP/DIS009/2026/00071,2026-12-16,Vikas Iyengar,9876110071,"White Collar Crime reported at Davanagere Cyber Crime PS, Davanagere. Brief: Corporate embezzlement or insider fraud. Incident occurred near Davanagere Cyber Crime PS, Davanagere, Karnataka.",Davanagere Cyber Crime PS,Assigned to IO
CMP00072,KSP/DIS010/2026/00072,2026-01-17,Bhavya Gowda,9876110072,"Smuggling reported at Mysuru Traffic PS, Mysuru. Brief: Contraband gold or red sanders interception. Incident occurred near Mysuru Traffic PS, Mysuru, Karnataka.",Mysuru Traffic PS,Assigned to IO
CMP00073,KSP/DIS011/2026/00073,2026-02-18,Imran Patil,9876110073,"Extortion reported at Mandya Town PS, Mandya. Brief: Demanding protection money under threat. Incident occurred near Mandya Town PS, Mandya, Karnataka.",Mandya Town PS,Assigned to IO
CMP00074,KSP/DIS012/2026/00074,2026-03-19,Ajay Kumar,9876110074,"Blackmail reported at Hassan Central PS, Hassan. Brief: Chantaje or extortion via compromised media. Incident occurred near Hassan Central PS, Hassan, Karnataka.",Hassan Central PS,Assigned to IO
CMP00075,KSP/DIS013/2026/00075,2026-04-20,Ananya Rao,9876110075,"Counterfeit Currency reported at Chamarajanagara Cyber Crime PS, Chamarajanagara. Brief: FICN high-quality fake currency notes circulating. Incident occurred near Chamarajanagara Cyber Crime PS, Chamarajanagara, Karnataka.",Chamarajanagara Cyber Crime PS,Assigned to IO
CMP00076,KSP/DIS014/2026/00076,2026-05-21,Deepak Sharma,9876110076,"Fake Documents reported at Kodagu Traffic PS, Kodagu. Brief: Forgery of land title deeds or government IDs. Incident occurred near Kodagu Traffic PS, Kodagu, Karnataka.",Kodagu Traffic PS,Assigned to IO
CMP00077,KSP/DIS015/2026/00077,2026-06-22,Sanjay Nair,9876110077,"Hit and Run reported at Dakshina Kannada (Mangaluru) Town PS, Dakshina Kannada (Mangaluru). Brief: Fatal vehicular collision where driver fled scene. Incident occurred near Dakshina Kannada (Mangaluru) Town PS, Dakshina Kannada (Mangaluru), Karnataka.",Dakshina Kannada (Mangaluru) Town PS,Assigned to IO
CMP00078,KSP/DIS016/2026/00078,2026-07-23,Pooja Verma,9876110078,"Road Accident reported at Udupi Central PS, Udupi. Brief: Negligent driving causing injury IPC 279/338. Incident occurred near Udupi Central PS, Udupi, Karnataka.",Udupi Central PS,Assigned to IO
CMP00079,KSP/DIS017/2026/00079,2026-08-24,Santosh Reddy,9876110079,"Fire Incident reported at Uttara Kannada (Karwar) Cyber Crime PS, Uttara Kannada (Karwar). Brief: Industrial or residential fire accident inquiry. Incident occurred near Uttara Kannada (Karwar) Cyber Crime PS, Uttara Kannada (Karwar), Karnataka.",Uttara Kannada (Karwar) Cyber Crime PS,Assigned to IO
CMP00080,KSP/DIS018/2026/00080,2026-09-25,Ramesh Khan,9876110080,"Unknown Dead Body reported at Belagavi Traffic PS, Belagavi. Brief: Unidentified corpse inquest Section 174 CrPC. Incident occurred near Belagavi Traffic PS, Belagavi, Karnataka.",Belagavi Traffic PS,Assigned to IO
CMP00081,KSP/DIS019/2026/00081,2026-10-26,Sunita Mehta,9876110081,"Suicide Investigation reported at Dharwad Town PS, Dharwad. Brief: Unnatural death and suicide note inquiry. Incident occurred near Dharwad Town PS, Dharwad, Karnataka.",Dharwad Town PS,Assigned to IO
CMP00082,KSP/DIS020/2026/00082,2026-11-27,Vijay Kulkarni,9876110082,"Property Disputes reported at Hubballi City Central PS, Hubballi City. Brief: Civil boundary dispute causing law and order friction. Incident occurred near Hubballi City Central PS, Hubballi City, Karnataka.",Hubballi City Central PS,Assigned to IO
CMP00083,KSP/DIS021/2026/00083,2026-12-28,Manjunath Hegde,9876110083,"Public Disturbance reported at Gadag Cyber Crime PS, Gadag. Brief: Unlawful assembly, rioting, or public brawl. Incident occurred near Gadag Cyber Crime PS, Gadag, Karnataka.",Gadag Cyber Crime PS,Assigned to IO
CMP00084,KSP/DIS022/2026/00084,2026-01-01,Meena Shetty,9876110084,"Synthetic Drugs (MDMA) reported at Haveri Traffic PS, Haveri. Brief: Commercial seizure of MDMA / Methamphetamine. Incident occurred near Haveri Traffic PS, Haveri, Karnataka.",Haveri Traffic PS,Assigned to IO
CMP00085,KSP/DIS023/2026/00085,2026-02-02,Anil Bhat,9876110085,"Murder reported at Vijayapura Town PS, Vijayapura. Brief: Premeditated homicide investigation. Incident occurred near Vijayapura Town PS, Vijayapura, Karnataka.",Vijayapura Town PS,Assigned to IO
CMP00086,KSP/DIS024/2026/00086,2026-03-03,Sunil Deshmukh,9876110086,"Attempt to Murder reported at Bagalkote Central PS, Bagalkote. Brief: Violent assault with deadly weapon. Incident occurred near Bagalkote Central PS, Bagalkote, Karnataka.",Bagalkote Central PS,Assigned to IO
CMP00087,KSP/DIS025/2026/00087,2026-04-04,Bhavya Joshi,9876110087,"Assault & Grievous Hurt reported at Kalaburagi Cyber Crime PS, Kalaburagi. Brief: Physical injury caused during gang/group clash. Incident occurred near Kalaburagi Cyber Crime PS, Kalaburagi, Karnataka.",Kalaburagi Cyber Crime PS,Assigned to IO
CMP00088,KSP/DIS026/2026/00088,2026-05-05,Ganesh Naik,9876110088,"Kidnapping reported at Bidar Traffic PS, Bidar. Brief: Abduction for ransom or coercion. Incident occurred near Bidar Traffic PS, Bidar, Karnataka.",Bidar Traffic PS,Assigned to IO
CMP00089,KSP/DIS027/2026/00089,2026-06-06,Nitin Iyengar,9876110089,"Missing Person reported at Raichur Town PS, Raichur. Brief: Trace & locate missing citizen petition. Incident occurred near Raichur Town PS, Raichur, Karnataka.",Raichur Town PS,Assigned to IO
CMP00090,KSP/DIS028/2026/00090,2026-07-07,Ananya Gowda,9876110090,"Theft reported at Koppal Central PS, Koppal. Brief: Larceny of personal or commercial goods. Incident occurred near Koppal Central PS, Koppal, Karnataka.",Koppal Central PS,Assigned to IO
CMP00091,KSP/DIS029/2026/00091,2026-08-08,Vikas Patil,9876110091,"Vehicle Theft reported at Yadgir Cyber Crime PS, Yadgir. Brief: Stolen motor vehicle or two-wheeler. Incident occurred near Yadgir Cyber Crime PS, Yadgir, Karnataka.",Yadgir Cyber Crime PS,Assigned to IO
CMP00092,KSP/DIS030/2026/00092,2026-09-09,Rahul Kumar,9876110092,"Burglary reported at Ballari Traffic PS, Ballari. Brief: Overnight trespass and property theft. Incident occurred near Ballari Traffic PS, Ballari, Karnataka.",Ballari Traffic PS,Assigned to IO
CMP00093,KSP/DIS031/2026/00093,2026-10-10,Pooja Rao,9876110093,"Robbery reported at Vijayanagara (Hospete) Town PS, Vijayanagara (Hospete). Brief: Armed robbery using force or coercion. Incident occurred near Vijayanagara (Hospete) Town PS, Vijayanagara (Hospete), Karnataka.",Vijayanagara (Hospete) Town PS,Assigned to IO
