VictimID,CaseID,VictimName,Gender,Age,Mobile,Address,Occupation,InjuryType,Statement,Email,InjurySeverity,MedicalReport,HospitalName,VictimStatus,EmergencyContact,IDProof
VIC00011,KSP/DIS011/2026/00011,Vikas Hegde,Male,31,9876110011,"Mandya Cyber Crime PS Sector 2, Mandya",Business Owner,Minor Contusion,Statement of Vikas Hegde recorded regarding Cyber Crime.,victim.11@ksp-citizen.in,Mild,MR11,Mandya District General Hospital,Safe & Recovered,9876210011,Aadhaar-4011-1011
VIC00012,KSP/DIS012/2026/00012,Bhavya Shetty,Female,32,9876110012,"Hassan Traffic PS Sector 3, Hassan",IT Software Engineer,Minor Contusion,Statement of Bhavya Shetty recorded regarding UPI Fraud.,victim.12@ksp-citizen.in,Mild,MR12,Hassan District General Hospital,Safe & Recovered,9876210012,Aadhaar-4012-1012
VIC00013,KSP/DIS013/2026/00013,Imran Bhat,Male,33,9876110013,"Chamarajanagara Town PS Sector 4, Chamarajanagara",Business Owner,Minor Contusion,Statement of Imran Bhat recorded regarding Online Banking Fraud.,victim.13@ksp-citizen.in,Mild,MR13,Chamarajanagara District General Hospital,Safe & Recovered,9876210013,Aadhaar-4013-1013
VIC00014,KSP/DIS014/2026/00014,Ajay Deshmukh,Male,34,9876110014,"Kodagu Central PS Sector 5, Kodagu",IT Software Engineer,Minor Contusion,Statement of Ajay Deshmukh recorded regarding Identity Theft.,victim.14@ksp-citizen.in,Mild,MR14,Kodagu District General Hospital,Safe & Recovered,9876210014,Aadhaar-4014-1014
VIC00015,KSP/DIS015/2026/00015,Ananya Joshi,Female,35,9876110015,"Dakshina Kannada (Mangaluru) Cyber Crime PS Sector 1, Dakshina Kannada (Mangaluru)",Business Owner,Minor Contusion,Statement of Ananya Joshi recorded regarding ATM Fraud.,victim.15@ksp-citizen.in,Mild,MR15,Dakshina Kannada (Mangaluru) District General Hospital,Safe & Recovered,9876210015,Aadhaar-4015-1015
VIC00016,KSP/DIS016/2026/00016,Deepak Naik,Male,36,9876110016,"Udupi Traffic PS Sector 2, Udupi",IT Software Engineer,Minor Contusion,Statement of Deepak Naik recorded regarding Rape.,victim.16@ksp-citizen.in,Mild,MR16,Udupi District General Hospital,Safe & Recovered,9876210016,Aadhaar-4016-1016
VIC00017,KSP/DIS017/2026/00017,Sanjay Iyengar,Male,37,9876110017,"Uttara Kannada (Karwar) Town PS Sector 3, Uttara Kannada (Karwar)",Business Owner,Minor Contusion,Statement of Sanjay Iyengar recorded regarding Sexual Assault.,victim.17@ksp-citizen.in,Mild,MR17,Uttara Kannada (Karwar) District General Hospital,Safe & Recovered,9876210017,Aadhaar-4017-1017
VIC00018,KSP/DIS018/2026/00018,Pooja Gowda,Female,38,9876110018,"Belagavi Central PS Sector 4, Belagavi",IT Software Engineer,Minor Contusion,Statement of Pooja Gowda recorded regarding POCSO.,victim.18@ksp-citizen.in,Mild,MR18,Belagavi District General Hospital,Safe & Recovered,9876210018,Aadhaar-4018-1018
VIC00019,KSP/DIS019/2026/00019,Santosh Patil,Male,39,9876110019,"Dharwad Cyber Crime PS Sector 5, Dharwad",Business Owner,Minor Contusion,Statement of Santosh Patil recorded regarding Domestic Violence.,victim.19@ksp-citizen.in,Mild,MR19,Dharwad District General Hospital,Safe & Recovered,9876210019,Aadhaar-4019-1019
VIC00020,KSP/DIS020/2026/00020,Ramesh Kumar,Male,40,9876110020,"Hubballi City Traffic PS Sector 1, Hubballi City",IT Software Engineer,Minor Contusion,Statement of Ramesh Kumar recorded regarding Illegal Weapons.,victim.20@ksp-citizen.in,Mild,MR20,Hubballi City District General Hospital,Safe & Recovered,9876210020,Aadhaar-4020-1020
VIC00021,KSP/DIS021/2026/00021,Sunita Rao,Female,41,9876110021,"Gadag Town PS Sector 2, Gadag",Business Owner,Minor Contusion,Statement of Sunita Rao recorded regarding Drug Trafficking.,victim.21@ksp-citizen.in,Mild,MR21,Gadag District General Hospital,Safe & Recovered,9876210021,Aadhaar-4021-1021
VIC00022,KSP/DIS022/2026/00022,Vijay Sharma,Male,42,9876110022,"Haveri Central PS Sector 3, Haveri",IT Software Engineer,Minor Contusion,Statement of Vijay Sharma recorded regarding Human Trafficking.,victim.22@ksp-citizen.in,Mild,MR22,Haveri District General Hospital,Safe & Recovered,9876210022,Aadhaar-4022-1022
VIC00023,KSP/DIS023/2026/00023,Manjunath Nair,Male,43,9876110023,"Vijayapura Cyber Crime PS Sector 4, Vijayapura",Business Owner,Minor Contusion,Statement of Manjunath Nair recorded regarding Gambling.,victim.23@ksp-citizen.in,Mild,MR23,Vijayapura District General Hospital,Safe & Recovered,9876210023,Aadhaar-4023-1023
VIC00024,KSP/DIS024/2026/00024,Meena Verma,Female,44,9876110024,"Bagalkote Traffic PS Sector 5, Bagalkote",IT Software Engineer,Minor Contusion,Statement of Meena Verma recorded regarding Wildlife Crime.,victim.24@ksp-citizen.in,Mild,MR24,Bagalkote District General Hospital,Safe & Recovered,9876210024,Aadhaar-4024-1024
VIC00025,KSP/DIS025/2026/00025,Anil Reddy,Male,45,9876110025,"Kalaburagi Town PS Sector 1, Kalaburagi",Business Owner,Minor Contusion,Statement of Anil Reddy recorded regarding Forest Crime.,victim.25@ksp-citizen.in,Mild,MR25,Kalaburagi District General Hospital,Safe & Recovered,9876210025,Aadhaar-4025-1025
VIC00026,KSP/DIS026/2026/00026,Sunil Khan,Male,46,9876110026,"Bidar Central PS Sector 2, Bidar",IT Software Engineer,Minor Contusion,Statement of Sunil Khan recorded regarding Terror Related Activity.,victim.26@ksp-citizen.in,Mild,MR26,Bidar District General Hospital,Safe & Recovered,9876210026,Aadhaar-4026-1026
VIC00027,KSP/DIS027/2026/00027,Bhavya Mehta,Female,47,9876110027,"Raichur Cyber Crime PS Sector 3, Raichur",Business Owner,Minor Contusion,Statement of Bhavya Mehta recorded regarding Corruption.,victim.27@ksp-citizen.in,Mild,MR27,Raichur District General Hospital,Safe & Recovered,9876210027,Aadhaar-4027-1027
VIC00028,KSP/DIS028/2026/00028,Ganesh Kulkarni,Male,48,9876110028,"Koppal Traffic PS Sector 4, Koppal",IT Software Engineer,Minor Contusion,Statement of Ganesh Kulkarni recorded regarding Economic Offence.,victim.28@ksp-citizen.in,Mild,MR28,Koppal District General Hospital,Safe & Recovered,9876210028,Aadhaar-4028-1028
VIC00029,KSP/DIS029/2026/00029,Nitin Hegde,Male,49,9876110029,"Yadgir Town PS Sector 5, Yadgir",Business Owner,Minor Contusion,Statement of Nitin Hegde recorded regarding White Collar Crime.,victim.29@ksp-citizen.in,Mild,MR29,Yadgir District General Hospital,Safe & Recovered,9876210029,Aadhaar-4029-1029
VIC00030,KSP/DIS030/2026/00030,Ananya Shetty,Female,50,9876110030,"Ballari Central PS Sector 1, Ballari",IT Software Engineer,Minor Contusion,Statement of Ananya Shetty recorded regarding Smuggling.,victim.30@ksp-citizen.in,Mild,MR30,Ballari District General Hospital,Safe & Recovered,9876210030,Aadhaar-4030-1030
VIC00031,KSP/DIS031/2026/00031,Vikas Bhat,Male,51,9876110031,"Vijayanagara (Hospete) Cyber Crime PS Sector 2, Vijayanagara (Hospete)",Business Owner,Minor Contusion,Statement of Vikas Bhat recorded regarding Extortion.,victim.31@ksp-citizen.in,Mild,MR31,Vijayanagara (Hospete) District General Hospital,Safe & Recovered,9876210031,Aadhaar-4031-1031
VIC00032,KSP/DIS001/2026/00032,Rahul Deshmukh,Male,52,9876110032,"Cubbon Park Police Station Sector 3, Bengaluru Urban",IT Software Engineer,Minor Contusion,Statement of Rahul Deshmukh recorded regarding Blackmail.,victim.32@ksp-citizen.in,Mild,MR32,Bengaluru Urban District General Hospital,Safe & Recovered,9876210032,Aadhaar-4032-1032
VIC00033,KSP/DIS002/2026/00033,Pooja Joshi,Female,53,9876110033,"Bengaluru Rural Town PS Sector 4, Bengaluru Rural",Business Owner,Minor Contusion,Statement of Pooja Joshi recorded regarding Counterfeit Currency.,victim.33@ksp-citizen.in,Mild,MR33,Bengaluru Rural District General Hospital,Safe & Recovered,9876210033,Aadhaar-4033-1033
VIC00034,KSP/DIS003/2026/00034,Ajay Naik,Male,54,9876110034,"Ramanagara Central PS Sector 5, Ramanagara",IT Software Engineer,Minor Contusion,Statement of Ajay Naik recorded regarding Fake Documents.,victim.34@ksp-citizen.in,Mild,MR34,Ramanagara District General Hospital,Safe & Recovered,9876210034,Aadhaar-4034-1034
VIC00035,KSP/DIS004/2026/00035,Rohan Iyengar,Male,55,9876110035,"Chikkaballapura Cyber Crime PS Sector 1, Chikkaballapura",Business Owner,Minor Contusion,Statement of Rohan Iyengar recorded regarding Hit and Run.,victim.35@ksp-citizen.in,Mild,MR35,Chikkaballapura District General Hospital,Safe & Recovered,9876210035,Aadhaar-4035-1035
VIC00036,KSP/DIS005/2026/00036,Sunita Gowda,Female,56,9876110036,"Kolar Traffic PS Sector 2, Kolar",IT Software Engineer,Minor Contusion,Statement of Sunita Gowda recorded regarding Road Accident.,victim.36@ksp-citizen.in,Mild,MR36,Kolar District General Hospital,Safe & Recovered,9876210036,Aadhaar-4036-1036
VIC00037,KSP/DIS006/2026/00037,Sanjay Patil,Male,57,9876110037,"Tumakuru Town PS Sector 3, Tumakuru",Business Owner,Minor Contusion,Statement of Sanjay Patil recorded regarding Fire Incident.,victim.37@ksp-citizen.in,Mild,MR37,Tumakuru District General Hospital,Safe & Recovered,9876210037,Aadhaar-4037-1037
VIC00038,KSP/DIS007/2026/00038,Mahesh Kumar,Male,58,9876110038,"Shivamogga Central PS Sector 4, Shivamogga",IT Software Engineer,Minor Contusion,Statement of Mahesh Kumar recorded regarding Unknown Dead Body.,victim.38@ksp-citizen.in,Mild,MR38,Shivamogga District General Hospital,Safe & Recovered,9876210038,Aadhaar-4038-1038
VIC00039,KSP/DIS008/2026/00039,Meena Rao,Female,59,9876110039,"Chitradurga Cyber Crime PS Sector 5, Chitradurga",Business Owner,Minor Contusion,Statement of Meena Rao recorded regarding Suicide Investigation.,victim.39@ksp-citizen.in,Mild,MR39,Chitradurga District General Hospital,Safe & Recovered,9876210039,Aadhaar-4039-1039
VIC00040,KSP/DIS009/2026/00040,Ramesh Sharma,Male,60,9876110040,"Davanagere Traffic PS Sector 1, Davanagere",IT Software Engineer,Minor Contusion,Statement of Ramesh Sharma recorded regarding Property Disputes.,victim.40@ksp-citizen.in,Mild,MR40,Davanagere District General Hospital,Safe & Recovered,9876210040,Aadhaar-4040-1040
VIC00041,KSP/DIS010/2026/00041,Suresh Nair,Male,61,9876110041,"Mysuru Town PS Sector 2, Mysuru",Business Owner,Minor Contusion,Statement of Suresh Nair recorded regarding Public Disturbance.,victim.41@ksp-citizen.in,Mild,MR41,Mysuru District General Hospital,Safe & Recovered,9876210041,Aadhaar-4041-1041
VIC00042,KSP/DIS011/2026/00042,Bhavya Verma,Female,62,9876110042,"Mandya Central PS Sector 3, Mandya",IT Software Engineer,Minor Contusion,Statement of Bhavya Verma recorded regarding Synthetic Drugs (MDMA).,victim.42@ksp-citizen.in,Mild,MR42,Mandya District General Hospital,Safe & Recovered,9876210042,Aadhaar-4042-1042
VIC00043,KSP/DIS012/2026/00043,Manjunath Reddy,Male,63,9876110043,"Hassan Cyber Crime PS Sector 4, Hassan",Business Owner,Fatal Injury,Statement of Manjunath Reddy recorded regarding Murder.,victim.43@ksp-citizen.in,Critical,MR43,Hassan District General Hospital,Deceased,9876210043,Aadhaar-4043-1043
VIC00044,KSP/DIS013/2026/00044,Karthik Khan,Male,64,9876110044,"Chamarajanagara Traffic PS Sector 5, Chamarajanagara",IT Software Engineer,Fatal Injury,Statement of Karthik Khan recorded regarding Attempt to Murder.,victim.44@ksp-citizen.in,Critical,MR44,Chamarajanagara District General Hospital,Deceased,9876210044,Aadhaar-4044-1044
VIC00045,KSP/DIS014/2026/00045,Ananya Mehta,Female,20,9876110045,"Kodagu Town PS Sector 1, Kodagu",Business Owner,Minor Contusion,Statement of Ananya Mehta recorded regarding Assault & Grievous Hurt.,victim.45@ksp-citizen.in,Mild,MR45,Kodagu District General Hospital,Safe & Recovered,9876210045,Aadhaar-4045-1045
VIC00046,KSP/DIS015/2026/00046,Sunil Kulkarni,Male,21,9876110046,"Dakshina Kannada (Mangaluru) Central PS Sector 2, Dakshina Kannada (Mangaluru)",IT Software Engineer,Minor Contusion,Statement of Sunil Kulkarni recorded regarding Kidnapping.,victim.46@ksp-citizen.in,Mild,MR46,Dakshina Kannada (Mangaluru) District General Hospital,Safe & Recovered,9876210046,Aadhaar-4046-1046
VIC00047,KSP/DIS016/2026/00047,Praveen Hegde,Male,22,9876110047,"Udupi Cyber Crime PS Sector 3, Udupi",Business Owner,Minor Contusion,Statement of Praveen Hegde recorded regarding Missing Person.,victim.47@ksp-citizen.in,Mild,MR47,Udupi District General Hospital,Safe & Recovered,9876210047,Aadhaar-4047-1047
VIC00048,KSP/DIS017/2026/00048,Pooja Shetty,Female,23,9876110048,"Uttara Kannada (Karwar) Traffic PS Sector 4, Uttara Kannada (Karwar)",IT Software Engineer,Minor Contusion,Statement of Pooja Shetty recorded regarding Theft.,victim.48@ksp-citizen.in,Mild,MR48,Uttara Kannada (Karwar) District General Hospital,Safe & Recovered,9876210048,Aadhaar-4048-1048
VIC00049,KSP/DIS018/2026/00049,Nitin Bhat,Male,24,9876110049,"Belagavi Town PS Sector 5, Belagavi",Business Owner,Minor Contusion,Statement of Nitin Bhat recorded regarding Vehicle Theft.,victim.49@ksp-citizen.in,Mild,MR49,Belagavi District General Hospital,Safe & Recovered,9876210049,Aadhaar-4049-1049
VIC00050,KSP/DIS019/2026/00050,Niranjan Deshmukh,Male,25,9876110050,"Dharwad Central PS Sector 1, Dharwad",IT Software Engineer,Minor Contusion,Statement of Niranjan Deshmukh recorded regarding Burglary.,victim.50@ksp-citizen.in,Mild,MR50,Dharwad District General Hospital,Safe & Recovered,9876210050,Aadhaar-4050-1050
VIC00051,KSP/DIS020/2026/00051,Sunita Joshi,Female,26,9876110051,"Hubballi City Cyber Crime PS Sector 2, Hubballi City",Business Owner,Minor Contusion,Statement of Sunita Joshi recorded regarding Robbery.,victim.51@ksp-citizen.in,Mild,MR51,Hubballi City District General Hospital,Safe & Recovered,9876210051,Aadhaar-4051-1051
VIC00052,KSP/DIS021/2026/00052,Rahul Naik,Male,27,9876110052,"Gadag Traffic PS Sector 3, Gadag",IT Software Engineer,Minor Contusion,Statement of Rahul Naik recorded regarding Chain Snatching.,victim.52@ksp-citizen.in,Mild,MR52,Gadag District General Hospital,Safe & Recovered,9876210052,Aadhaar-4052-1052
VIC00053,KSP/DIS022/2026/00053,Imran Iyengar,Male,28,9876110053,"Haveri Town PS Sector 4, Haveri",Business Owner,Minor Contusion,Statement of Imran Iyengar recorded regarding Cyber Crime.,victim.53@ksp-citizen.in,Mild,MR53,Haveri District General Hospital,Safe & Recovered,9876210053,Aadhaar-4053-1053
VIC00054,KSP/DIS023/2026/00054,Meena Gowda,Female,29,9876110054,"Vijayapura Central PS Sector 5, Vijayapura",IT Software Engineer,Minor Contusion,Statement of Meena Gowda recorded regarding UPI Fraud.,victim.54@ksp-citizen.in,Mild,MR54,Vijayapura District General Hospital,Safe & Recovered,9876210054,Aadhaar-4054-1054
VIC00055,KSP/DIS024/2026/00055,Rohan Patil,Male,30,9876110055,"Bagalkote Cyber Crime PS Sector 1, Bagalkote",Business Owner,Minor Contusion,Statement of Rohan Patil recorded regarding Online Banking Fraud.,victim.55@ksp-citizen.in,Mild,MR55,Bagalkote District General Hospital,Safe & Recovered,9876210055,Aadhaar-4055-1055
VIC00056,KSP/DIS025/2026/00056,Deepak Kumar,Male,31,9876110056,"Kalaburagi Traffic PS Sector 2, Kalaburagi",IT Software Engineer,Minor Contusion,Statement of Deepak Kumar recorded regarding Identity Theft.,victim.56@ksp-citizen.in,Mild,MR56,Kalaburagi District General Hospital,Safe & Recovered,9876210056,Aadhaar-4056-1056
VIC00057,KSP/DIS026/2026/00057,Bhavya Rao,Female,32,9876110057,"Bidar Town PS Sector 3, Bidar",Business Owner,Minor Contusion,Statement of Bhavya Rao recorded regarding ATM Fraud.,victim.57@ksp-citizen.in,Mild,MR57,Bidar District General Hospital,Safe & Recovered,9876210057,Aadhaar-4057-1057
VIC00058,KSP/DIS027/2026/00058,Mahesh Sharma,Male,33,9876110058,"Raichur Central PS Sector 4, Raichur",IT Software Engineer,Minor Contusion,Statement of Mahesh Sharma recorded regarding Rape.,victim.58@ksp-citizen.in,Mild,MR58,Raichur District General Hospital,Safe & Recovered,9876210058,Aadhaar-4058-1058
VIC00059,KSP/DIS028/2026/00059,Santosh Nair,Male,34,9876110059,"Koppal Cyber Crime PS Sector 5, Koppal",Business Owner,Minor Contusion,Statement of Santosh Nair recorded regarding Sexual Assault.,victim.59@ksp-citizen.in,Mild,MR59,Koppal District General Hospital,Safe & Recovered,9876210059,Aadhaar-4059-1059
VIC00060,KSP/DIS029/2026/00060,Ananya Verma,Female,35,9876110060,"Yadgir Traffic PS Sector 1, Yadgir",IT Software Engineer,Minor Contusion,Statement of Ananya Verma recorded regarding POCSO.,victim.60@ksp-citizen.in,Mild,MR60,Yadgir District General Hospital,Safe & Recovered,9876210060,Aadhaar-4060-1060
VIC00061,KSP/DIS030/2026/00061,Suresh Reddy,Male,36,9876110061,"Ballari Town PS Sector 2, Ballari",Business Owner,Minor Contusion,Statement of Suresh Reddy recorded regarding Domestic Violence.,victim.61@ksp-citizen.in,Mild,MR61,Ballari District General Hospital,Safe & Recovered,9876210061,Aadhaar-4061-1061
VIC00062,KSP/DIS031/2026/00062,Vijay Khan,Male,37,9876110062,"Vijayanagara (Hospete) Central PS Sector 3, Vijayanagara (Hospete)",IT Software Engineer,Minor Contusion,Statement of Vijay Khan recorded regarding Illegal Weapons.,victim.62@ksp-citizen.in,Mild,MR62,Vijayanagara (Hospete) District General Hospital,Safe & Recovered,9876210062,Aadhaar-4062-1062
VIC00063,KSP/DIS001/2026/00063,Pooja Mehta,Female,38,9876110063,"Jayanagar Police Station Sector 4, Bengaluru Urban",Business Owner,Minor Contusion,Statement of Pooja Mehta recorded regarding Drug Trafficking.,victim.63@ksp-citizen.in,Mild,MR63,Bengaluru Urban District General Hospital,Safe & Recovered,9876210063,Aadhaar-4063-1063
VIC00064,KSP/DIS002/2026/00064,Karthik Kulkarni,Male,39,9876110064,"Bengaluru Rural Traffic PS Sector 5, Bengaluru Rural",IT Software Engineer,Minor Contusion,Statement of Karthik Kulkarni recorded regarding Human Trafficking.,victim.64@ksp-citizen.in,Mild,MR64,Bengaluru Rural District General Hospital,Safe & Recovered,9876210064,Aadhaar-4064-1064
VIC00065,KSP/DIS003/2026/00065,Anil Hegde,Male,40,9876110065,"Ramanagara Town PS Sector 1, Ramanagara",Business Owner,Minor Contusion,Statement of Anil Hegde recorded regarding Gambling.,victim.65@ksp-citizen.in,Mild,MR65,Ramanagara District General Hospital,Safe & Recovered,9876210065,Aadhaar-4065-1065
VIC00066,KSP/DIS004/2026/00066,Sunita Shetty,Female,41,9876110066,"Chikkaballapura Central PS Sector 2, Chikkaballapura",IT Software Engineer,Minor Contusion,Statement of Sunita Shetty recorded regarding Wildlife Crime.,victim.66@ksp-citizen.in,Mild,MR66,Chikkaballapura District General Hospital,Safe & Recovered,9876210066,Aadhaar-4066-1066
VIC00067,KSP/DIS005/2026/00067,Praveen Bhat,Male,42,9876110067,"Kolar Cyber Crime PS Sector 3, Kolar",Business Owner,Minor Contusion,Statement of Praveen Bhat recorded regarding Forest Crime.,victim.67@ksp-citizen.in,Mild,MR67,Kolar District General Hospital,Safe & Recovered,9876210067,Aadhaar-4067-1067
VIC00068,KSP/DIS006/2026/00068,Ganesh Deshmukh,Male,43,9876110068,"Tumakuru Traffic PS Sector 4, Tumakuru",IT Software Engineer,Minor Contusion,Statement of Ganesh Deshmukh recorded regarding Terror Related Activity.,victim.68@ksp-citizen.in,Mild,MR68,Tumakuru District General Hospital,Safe & Recovered,9876210068,Aadhaar-4068-1068
VIC00069,KSP/DIS007/2026/00069,Meena Joshi,Female,44,9876110069,"Shivamogga Town PS Sector 5, Shivamogga",Business Owner,Minor Contusion,Statement of Meena Joshi recorded regarding Corruption.,victim.69@ksp-citizen.in,Mild,MR69,Shivamogga District General Hospital,Safe & Recovered,9876210069,Aadhaar-4069-1069
VIC00070,KSP/DIS008/2026/00070,Niranjan Naik,Male,45,9876110070,"Chitradurga Central PS Sector 1, Chitradurga",IT Software Engineer,Minor Contusion,Statement of Niranjan Naik recorded regarding Economic Offence.,victim.70@ksp-citizen.in,Mild,MR70,Chitradurga District General Hospital,Safe & Recovered,9876210070,Aadhaar-4070-1070
VIC00071,KSP/DIS009/2026/00071,Vikas Iyengar,Male,46,9876110071,"Davanagere Cyber Crime PS Sector 2, Davanagere",Business Owner,Minor Contusion,Statement of Vikas Iyengar recorded regarding White Collar Crime.,victim.71@ksp-citizen.in,Mild,MR71,Davanagere District General Hospital,Safe & Recovered,9876210071,Aadhaar-4071-1071
VIC00072,KSP/DIS010/2026/00072,Bhavya Gowda,Female,47,9876110072,"Mysuru Traffic PS Sector 3, Mysuru",IT Software Engineer,Minor Contusion,Statement of Bhavya Gowda recorded regarding Smuggling.,victim.72@ksp-citizen.in,Mild,MR72,Mysuru District General Hospital,Safe & Recovered,9876210072,Aadhaar-4072-1072
VIC00073,KSP/DIS011/2026/00073,Imran Patil,Male,48,9876110073,"Mandya Town PS Sector 4, Mandya",Business Owner,Minor Contusion,Statement of Imran Patil recorded regarding Extortion.,victim.73@ksp-citizen.in,Mild,MR73,Mandya District General Hospital,Safe & Recovered,9876210073,Aadhaar-4073-1073
VIC00074,KSP/DIS012/2026/00074,Ajay Kumar,Male,49,9876110074,"Hassan Central PS Sector 5, Hassan",IT Software Engineer,Minor Contusion,Statement of Ajay Kumar recorded regarding Blackmail.,victim.74@ksp-citizen.in,Mild,MR74,Hassan District General Hospital,Safe & Recovered,9876210074,Aadhaar-4074-1074
VIC00075,KSP/DIS013/2026/00075,Ananya Rao,Female,50,9876110075,"Chamarajanagara Cyber Crime PS Sector 1, Chamarajanagara",Business Owner,Minor Contusion,Statement of Ananya Rao recorded regarding Counterfeit Currency.,victim.75@ksp-citizen.in,Mild,MR75,Chamarajanagara District General Hospital,Safe & Recovered,9876210075,Aadhaar-4075-1075
VIC00076,KSP/DIS014/2026/00076,Deepak Sharma,Male,51,9876110076,"Kodagu Traffic PS Sector 2, Kodagu",IT Software Engineer,Minor Contusion,Statement of Deepak Sharma recorded regarding Fake Documents.,victim.76@ksp-citizen.in,Mild,MR76,Kodagu District General Hospital,Safe & Recovered,9876210076,Aadhaar-4076-1076
VIC00077,KSP/DIS015/2026/00077,Sanjay Nair,Male,52,9876110077,"Dakshina Kannada (Mangaluru) Town PS Sector 3, Dakshina Kannada (Mangaluru)",Business Owner,Minor Contusion,Statement of Sanjay Nair recorded regarding Hit and Run.,victim.77@ksp-citizen.in,Mild,MR77,Dakshina Kannada (Mangaluru) District General Hospital,Safe & Recovered,9876210077,Aadhaar-4077-1077
VIC00078,KSP/DIS016/2026/00078,Pooja Verma,Female,53,9876110078,"Udupi Central PS Sector 4, Udupi",IT Software Engineer,Minor Contusion,Statement of Pooja Verma recorded regarding Road Accident.,victim.78@ksp-citizen.in,Mild,MR78,Udupi District General Hospital,Safe & Recovered,9876210078,Aadhaar-4078-1078
VIC00079,KSP/DIS017/2026/00079,Santosh Reddy,Male,54,9876110079,"Uttara Kannada (Karwar) Cyber Crime PS Sector 5, Uttara Kannada (Karwar)",Business Owner,Minor Contusion,Statement of Santosh Reddy recorded regarding Fire Incident.,victim.79@ksp-citizen.in,Mild,MR79,Uttara Kannada (Karwar) District General Hospital,Safe & Recovered,9876210079,Aadhaar-4079-1079
VIC00080,KSP/DIS018/2026/00080,Ramesh Khan,Male,55,9876110080,"Belagavi Traffic PS Sector 1, Belagavi",IT Software Engineer,Minor Contusion,Statement of Ramesh Khan recorded regarding Unknown Dead Body.,victim.80@ksp-citizen.in,Mild,MR80,Belagavi District General Hospital,Safe & Recovered,9876210080,Aadhaar-4080-1080
